"filename", "language", "XML", "JavaScript JSX", "SCSS", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\Kerlos\Desktop\quiz\app\TrueFocus.scss", "SCSS", 0, 0, 61, 0, 0, 1, 8, 70
"c:\Users\Kerlos\Desktop\quiz\app\ans\page.jsx", "JavaScript JSX", 0, 101, 0, 0, 0, 3, 13, 117
"c:\Users\Kerlos\Desktop\quiz\app\api\GlobalApi.js", "JavaScript", 0, 0, 0, 0, 339, 4, 75, 418
"c:\Users\Kerlos\Desktop\quiz\app\arabic\[quizid]\page.jsx", "JavaScript JSX", 0, 12, 0, 0, 0, 0, 8, 20
"c:\Users\Kerlos\Desktop\quiz\app\arabic\page.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 0, 13, 28
"c:\Users\Kerlos\Desktop\quiz\app\bio\[quizid]\page.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 8, 19
"c:\Users\Kerlos\Desktop\quiz\app\bio\page.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 0, 14, 29
"c:\Users\Kerlos\Desktop\quiz\app\chem\[quizid]\page.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 8, 18
"c:\Users\Kerlos\Desktop\quiz\app\chem\page.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 0, 16, 31
"c:\Users\Kerlos\Desktop\quiz\app\components\ActiveSqu.jsx", "JavaScript JSX", 0, 59, 0, 0, 0, 1, 7, 67
"c:\Users\Kerlos\Desktop\quiz\app\components\Arabic.jsx", "JavaScript JSX", 0, 113, 0, 0, 0, 7, 30, 150
"c:\Users\Kerlos\Desktop\quiz\app\components\Bio.jsx", "JavaScript JSX", 0, 117, 0, 0, 0, 7, 41, 165
"c:\Users\Kerlos\Desktop\quiz\app\components\Chem.jsx", "JavaScript JSX", 0, 115, 0, 0, 0, 7, 33, 155
"c:\Users\Kerlos\Desktop\quiz\app\components\English.jsx", "JavaScript JSX", 0, 128, 0, 0, 0, 7, 39, 174
"c:\Users\Kerlos\Desktop\quiz\app\components\Footer.jsx", "JavaScript JSX", 0, 25, 0, 0, 0, 0, 13, 38
"c:\Users\Kerlos\Desktop\quiz\app\components\French.jsx", "JavaScript JSX", 0, 139, 0, 0, 0, 10, 32, 181
"c:\Users\Kerlos\Desktop\quiz\app\components\Geo.jsx", "JavaScript JSX", 0, 109, 0, 0, 0, 7, 32, 148
"c:\Users\Kerlos\Desktop\quiz\app\components\GreatToday.jsx", "JavaScript JSX", 0, 78, 0, 0, 0, 4, 12, 94
