"filename", "language", "JavaScript JSX", "SCSS", "CSS", "XML", "JavaScript", "comment", "blank", "total"
"c:\Users\Kerlos\Desktop\quiz\app\TrueFocus.scss", "SCSS", 0, 61, 0, 0, 0, 1, 8, 70
"c:\Users\Kerlos\Desktop\quiz\app\ans\page.jsx", "JavaScript JSX", 101, 0, 0, 0, 0, 3, 13, 117
"c:\Users\Kerlos\Desktop\quiz\app\api\GlobalApi.js", "JavaScript", 0, 0, 0, 0, 443, 12, 96, 551
"c:\Users\Kerlos\Desktop\quiz\app\arabic\[quizid]\page.jsx", "JavaScript JSX", 12, 0, 0, 0, 0, 0, 8, 20
"c:\Users\Kerlos\Desktop\quiz\app\arabic\page.jsx", "JavaScript JSX", 15, 0, 0, 0, 0, 0, 13, 28
"c:\Users\Kerlos\Desktop\quiz\app\bio\[quizid]\page.jsx", "JavaScript JSX", 11, 0, 0, 0, 0, 0, 8, 19
"c:\Users\Kerlos\Desktop\quiz\app\bio\page.jsx", "JavaScript JSX", 15, 0, 0, 0, 0, 0, 14, 29
"c:\Users\Kerlos\Desktop\quiz\app\chem\[quizid]\page.jsx", "JavaScript JSX", 8, 0, 0, 0, 0, 0, 9, 17
"c:\Users\Kerlos\Desktop\quiz\app\chem\page.jsx", "JavaScript JSX", 15, 0, 0, 0, 0, 0, 16, 31
"c:\Users\Kerlos\Desktop\quiz\app\components\ActiveSqu.jsx", "JavaScript JSX", 58, 0, 0, 0, 0, 1, 8, 67
"c:\Users\Kerlos\Desktop\quiz\app\components\Arabic.jsx", "JavaScript JSX", 116, 0, 0, 0, 0, 7, 31, 154
"c:\Users\Kerlos\Desktop\quiz\app\components\Bio.jsx", "JavaScript JSX", 123, 0, 0, 0, 0, 7, 44, 174
"c:\Users\Kerlos\Desktop\quiz\app\components\BlueButton.jsx", "JavaScript JSX", 41, 0, 0, 0, 0, 0, 2, 43
"c:\Users\Kerlos\Desktop\quiz\app\components\Chem.jsx", "JavaScript JSX", 118, 0, 0, 0, 0, 7, 37, 162
"c:\Users\Kerlos\Desktop\quiz\app\components\CodeGen.jsx", "JavaScript JSX", 119, 0, 0, 0, 0, 0, 17, 136
"c:\Users\Kerlos\Desktop\quiz\app\components\CountUp.jsx", "JavaScript JSX", 68, 0, 0, 0, 0, 0, 14, 82
"c:\Users\Kerlos\Desktop\quiz\app\components\CoutText.jsx", "JavaScript JSX", 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Kerlos\Desktop\quiz\app\components\English.jsx", "JavaScript JSX", 131, 0, 0, 0, 0, 7, 40, 178
"c:\Users\Kerlos\Desktop\quiz\app\components\Footer.jsx", "JavaScript JSX", 25, 0, 0, 0, 0, 0, 13, 38
"c:\Users\Kerlos\Desktop\quiz\app\components\French.jsx", "JavaScript JSX", 138, 0, 0, 0, 0, 10, 32, 180
"c:\Users\Kerlos\Desktop\quiz\app\components\Geo.jsx", "JavaScript JSX", 113, 0, 0, 0, 0, 7, 33, 153
"c:\Users\Kerlos\Desktop\quiz\app\components\GreatToday.jsx", "JavaScript JSX", 79, 0, 0, 0, 0, 4, 12, 95
"c:\Users\Kerlos\Desktop\quiz\app\components\GreenButton.jsx", "JavaScript JSX", 41, 0, 0, 0, 0, 0, 3, 44
"c:\Users\Kerlos\Desktop\quiz\app\components\Header.jsx", "JavaScript JSX", 77, 0, 0, 0, 0, 9, 12, 98
"c:\Users\Kerlos\Desktop\quiz\app\components\Hero.jsx", "JavaScript JSX", 155, 0, 0, 0, 0, 9, 38, 202
"c:\Users\Kerlos\Desktop\quiz\app\components\People.jsx", "JavaScript JSX", 68, 0, 0, 0, 0, 0, 18, 86
"c:\Users\Kerlos\Desktop\quiz\app\components\Physics.jsx", "JavaScript JSX", 125, 0, 0, 0, 0, 7, 35, 167
"c:\Users\Kerlos\Desktop\quiz\app\components\ProgCircle.jsx", "JavaScript JSX", 33, 0, 0, 0, 0, 0, 14, 47
